cdf,angle
3.59995e-05,0.005
0.000143992,0.01
0.00032396,0.015
0.000575873,0.02
0.000899689,0.025
0.00129535,0.03
0.0017628,0.035
0.00230196,0.04
0.00291273,0.045
0.00359502,0.05
0.00434871,0.055
0.00517368,0.06
0.00606979,0.065
0.00703689,0.07
0.00807483,0.075
0.00918342,0.08
0.0103625,0.085
0.0116118,0.09
0.0129313,0.095
0.0143205,0.1
0.0157794,0.105
0.0173077,0.11
0.0189051,0.115
0.0205714,0.12
0.0223063,0.125
0.0241095,0.13
0.0259806,0.135
0.0279195,0.14
0.0299258,0.145
0.0319991,0.15
0.0341391,0.155
0.0363454,0.16
0.0386178,0.165
0.0409557,0.17
0.0433589,0.175
0.0458269,0.18
0.0483593,0.185
0.0509557,0.19
0.0536157,0.195
0.0563389,0.2
0.0591247,0.205
0.0619728,0.21
0.0648826,0.215
0.0678538,0.22
0.0708857,0.225
0.073978,0.23
0.07713,0.235
0.0803414,0.24
0.0836114,0.245
0.0869398,0.25
0.0903258,0.255
0.0937689,0.26
0.0972686,0.265
0.100824,0.27
0.104435,0.275
0.108101,0.28
0.111822,0.285
0.115595,0.29
0.119422,0.295
0.123301,0.3
0.127232,0.305
0.131214,0.31
0.135247,0.315
0.139329,0.32
0.143461,0.325
0.147641,0.33
0.151869,0.335
0.156144,0.34
0.160466,0.345
0.164833,0.35
0.169246,0.355
0.173702,0.36
0.178203,0.365
0.182746,0.37
0.187332,0.375
0.191959,0.38
0.196626,0.385
0.201334,0.39
0.206081,0.395
0.210866,0.4
0.21569,0.405
0.22055,0.41
0.225446,0.415
0.230378,0.42
0.235344,0.425
0.240344,0.43
0.245377,0.435
0.250443,0.44
0.25554,0.445
0.260668,0.45
0.265825,0.455
0.271012,0.46
0.276227,0.465
0.281469,0.47
0.286738,0.475
0.292033,0.48
0.297353,0.485
0.302697,0.49
0.308064,0.495
0.313454,0.5
0.318866,0.505
0.324298,0.51
0.329751,0.515
0.335223,0.52
0.340713,0.525
0.34622,0.53
0.351745,0.535
0.357285,0.54
0.36284,0.545
0.368409,0.55
0.373992,0.555
0.379587,0.56
0.385194,0.565
0.390811,0.57
0.396439,0.575
0.402076,0.58
0.407721,0.585
0.413374,0.59
0.419033,0.595
0.424698,0.6
0.430368,0.605
0.436042,0.61
0.441719,0.615
0.447399,0.62
0.453081,0.625
0.458763,0.63
0.464446,0.635
0.470127,0.64
0.475807,0.645
0.481485,0.65
0.487159,0.655
0.49283,0.66
0.498495,0.665
0.504155,0.67
0.509809,0.675
0.515455,0.68
0.521093,0.685
0.526723,0.69
0.532343,0.695
0.537952,0.7
0.543551,0.705
0.549137,0.71
0.554711,0.715
0.560272,0.72
0.565818,0.725
0.57135,0.73
0.576866,0.735
0.582366,0.74
0.587848,0.745
0.593313,0.75
0.598759,0.755
0.604187,0.76
0.609594,0.765
0.61498,0.77
0.620346,0.775
0.625689,0.78
0.63101,0.785
0.636307,0.79
0.641581,0.795
0.64683,0.8
0.652054,0.805
0.657251,0.81
0.662423,0.815
0.667567,0.82
0.672683,0.825
0.677771,0.83
0.68283,0.835
0.68786,0.84
0.692859,0.845
0.697828,0.85
0.702765,0.855
0.707671,0.86
0.712544,0.865
0.717385,0.87
0.722192,0.875
0.726965,0.88
0.731704,0.885
0.736408,0.89
0.741076,0.895
0.745709,0.9
0.750305,0.905
0.754864,0.91
0.759386,0.915
0.763871,0.92
0.768317,0.925
0.772725,0.93
0.777094,0.935
0.781423,0.94
0.785713,0.945
0.789962,0.95
0.794172,0.955
0.79834,0.96
0.802467,0.965
0.806553,0.97
0.810597,0.975
0.814598,0.98
0.818558,0.985
0.822474,0.99
0.826348,0.995
0.830178,1.0
0.833965,1.005
0.837708,1.01
0.841407,1.015
0.845061,1.02
0.848672,1.025
0.852237,1.03
0.855758,1.035
0.859234,1.04
0.862665,1.045
0.86605,1.05
0.86939,1.055
0.872684,1.06
0.875933,1.065
0.879136,1.07
0.882292,1.075
0.885403,1.08
0.888468,1.085
0.891487,1.09
0.894459,1.095
0.897386,1.1
0.900266,1.105
0.9031,1.11
0.905887,1.115
0.908629,1.12
0.911324,1.125
0.913973,1.13
0.916576,1.135
0.919133,1.14
0.921643,1.145
0.924108,1.15
0.926527,1.155
0.928901,1.16
0.931228,1.165
0.933511,1.17
0.935748,1.175
0.937939,1.18
0.940086,1.185
0.942188,1.19
0.944245,1.195
0.946258,1.2
0.948226,1.205
0.950151,1.21
0.952031,1.215
0.953868,1.22
0.955662,1.225
0.957413,1.23
0.959121,1.235
0.960786,1.24
0.962409,1.245
0.963991,1.25
0.965531,1.255
0.967029,1.26
0.968487,1.265
0.969904,1.27
0.971281,1.275
0.972618,1.28
0.973916,1.285
0.975175,1.29
0.976395,1.295
0.977577,1.3
0.978722,1.305
0.979829,1.31
0.980899,1.315
0.981932,1.32
0.98293,1.325
0.983892,1.33
0.984819,1.335
0.985712,1.34
0.986571,1.345
0.987396,1.35
0.988188,1.355
0.988948,1.36
0.989676,1.365
0.990372,1.37
0.991038,1.375
0.991674,1.38
0.99228,1.385
0.992857,1.39
0.993406,1.395
0.993926,1.4
0.99442,1.405
0.994887,1.41
0.995328,1.415
0.995744,1.42
0.996135,1.425
0.996502,1.43
0.996846,1.435
0.997167,1.44
0.997466,1.445
0.997744,1.45
0.998002,1.455
0.998239,1.46
0.998458,1.465
0.998658,1.47
0.99884,1.475
0.999006,1.48
0.999155,1.485
0.999289,1.49
0.999408,1.495
0.999514,1.5
0.999606,1.505
0.999686,1.51
0.999755,1.515
0.999813,1.52
0.999861,1.525
0.9999,1.53
0.999932,1.535
0.999956,1.54
0.999973,1.545
0.999986,1.55
0.999994,1.555
0.999998,1.56
1.0,1.565
